Date,Cases
26/01/2020,7
02/02/2020,2
09/02/2020,11
16/02/2020,4
23/02/2020,16
01/03/2020,33
08/03/2020,391
15/03/2020,3465
22/03/2020,27486
29/03/2020,94894
05/04/2020,176151
12/04/2020,219172
19/04/2020,196150
26/04/2020,205165
03/05/2020,198436
10/05/2020,182246
17/05/2020,169032
24/05/2020,166325
31/05/2020,146436
07/06/2020,149780
14/06/2020,151876
21/06/2020,180021
28/06/2020,258278
05/07/2020,342166
12/07/2020,392205
19/07/2020,466267
26/07/2020,467901
02/08/2020,431250
09/08/2020,375909
16/08/2020,362662
23/08/2020,315788
30/08/2020,294946
06/09/2020,295253
13/09/2020,245621
20/09/2020,280977
27/09/2020,304774
04/10/2020,298348
11/10/2020,334249
18/10/2020,387634
25/10/2020,449438
01/11/2020,559394
08/11/2020,790094
15/11/2020,1004845
22/11/2020,1175483
29/11/2020,1162401
06/12/2020,1280932
13/12/2020,1468482
20/12/2020,1517928
27/12/2020,1360122
03/01/2021,1380995
10/01/2021,1667151
17/01/2021,1589955
24/01/2021,1265861
31/01/2021,1068625
07/02/2021,857250
14/02/2021,670572
21/02/2021,473485
28/02/2021,465751
07/03/2021,420739
14/03/2021,384000
21/03/2021,379551
28/03/2021,417818
04/04/2021,449960
11/04/2021,455950
18/04/2021,467217
25/04/2021,406095
02/05/2021,338407
09/05/2021,292324
16/05/2021,233350
23/05/2021,181609
30/05/2021,147811
06/06/2021,99112
13/06/2021,99565
20/06/2021,80627
27/06/2021,87637
04/07/2021,97037
11/07/2021,286510
18/07/2021,222579
25/07/2021,359027
01/08/2021,547086
08/08/2021,743056
15/08/2021,886464
22/08/2021,1019966
29/08/2021,1094890
05/09/2021,1144251
12/09/2021,1022570
19/09/2021,1037454
26/09/2021,852294
03/10/2021,755688
10/10/2021,681984
17/10/2021,582237
24/10/2021,508543
31/10/2021,526186
07/11/2021,510211
14/11/2021,557180
21/11/2021,676876
28/11/2021,592394
05/12/2021,751017
12/12/2021,834969
19/12/2021,899109
26/12/2021,1417419
02/01/2022,2712038
09/01/2022,4682897
16/01/2022,5650933
23/01/2022,5042888
30/01/2022,3789262
06/02/2022,2188710
13/02/2022,1222112
20/02/2022,708156
27/02/2022,458272
06/03/2022,332509
13/03/2022,234332
20/03/2022,208740
27/03/2022,193469
03/04/2022,194464
10/04/2022,201192
17/04/2022,247939
24/04/2022,300721
01/05/2022,378549
08/05/2022,465658
15/05/2022,604955
22/05/2022,734495
29/05/2022,740720
05/06/2022,675627
12/06/2022,741044
19/06/2022,672256
26/06/2022,709637
03/07/2022,773772
10/07/2022,743769
17/07/2022,888229
