ds,y
2016-12-31 00:00:00,43.900094335068935
2016-12-31 01:00:00,59.12669741508778
2016-12-31 02:00:00,58.723323994026885
2016-12-31 03:00:00,51.78555556139807
2016-12-31 04:00:00,48.89976210215117
2016-12-31 05:00:00,44.043047720007166
2016-12-31 06:00:00,45.94097793991094
2016-12-31 07:00:00,45.478676750473944
2016-12-31 08:00:00,43.2100141231523
2016-12-31 09:00:00,50.9510012636841
2016-12-31 10:00:00,74.72866123007418
2016-12-31 11:00:00,47.178857827373534
2016-12-31 12:00:00,47.7976326578769
2016-12-31 13:00:00,47.94371004196371
2016-12-31 14:00:00,50.13289715479025
2016-12-31 15:00:00,40.9610652626203
2016-12-31 16:00:00,50.37218948676385
2016-12-31 17:00:00,66.90596734348787
2016-12-31 18:00:00,62.971796885078824
2016-12-31 19:00:00,57.97981811344126
2016-12-31 20:00:00,67.8042333674621
2016-12-31 21:00:00,60.77228258491766
2016-12-31 22:00:00,85.656180576288
2016-12-31 23:00:00,58.086052663279595
2016-12-31 00:00:00,53.701135961837664
2016-12-31 01:00:00,56.2752092316566
2016-12-31 02:00:00,43.43112677703485
2016-12-31 03:00:00,55.47111777066999
2016-12-31 04:00:00,36.56203507952319
2016-12-31 05:00:00,52.70938370094551
2016-12-31 06:00:00,57.267304259600834
2016-12-31 07:00:00,47.54543684978983
2016-12-31 08:00:00,70.98905476170373
2016-12-31 09:00:00,57.43195181925122
2016-12-31 10:00:00,57.04702164259288
2016-12-31 11:00:00,74.09697581781352
2016-12-31 12:00:00,64.19479092333181
2016-12-31 13:00:00,61.030513998339536
2016-12-31 14:00:00,52.19178225791467
2016-12-31 15:00:00,52.96051896045942
2016-12-31 16:00:00,51.7196522317585
2016-12-31 17:00:00,46.27334950883788
2016-12-31 18:00:00,62.36612773419471
2016-12-31 19:00:00,55.2711706438288
2016-12-31 20:00:00,62.031696994698365
2016-12-31 21:00:00,51.374346465751316
2016-12-31 22:00:00,64.71177963026504
2016-12-31 23:00:00,77.29822586709867
